k,p,member,base,difference,additive,multiplicative,exponential_E1,exponential_E2,K_pure,K_royal_addition,K_royal_flat
1,11,11,,,(2*3) + 5,(3*2) + 5,(3*2) + 5,(3*2) + 5,,,
1,11,13,,,(2*5) + 3,(5*2) + 3,(2^3) + 5,(2^3) + 5,,,
1,11,17,,,7 + 5 + 3 + 2,(7*2) + 3,(7*2) + 3,(7*2) + 3,,,
1,11,19,,,(2*7) + 5,(7*2) + 5,(7*2) + 5,(7*2) + 5,,,
2,101,101,19,82,19 + 17 + 13 + 11 + (5*7) + (2*3),19 + (17*3) + (13*2) + 5,19 + (7^2) + (11*3),19 + (7^2) + (11*3),--,,4
2,101,103,101,2,101 + 2,,,,,,
2,101,107,101,6,101 + (2*3),,,,,,
2,101,109,107,2,107 + 2,,,,,,
3,191,191,109,82,109 + 19 + 17 + 13 + 11 + (3*5) + 7,109 + (19*3) + (7*2) + 11,109 + (7^2) + (11*3),109 + (7^2) + (11*3),--,,4
3,191,193,191,2,191 + 2,,,,,,
3,191,197,191,6,191 + (2*3),,,,,,
3,191,199,197,2,197 + 2,,,,,,
4,821,821,199,622,199 + 197 + 193 + 191 + (5*7) + (2*3),199 + (197*3) + (13*2) + 5,199 + (19^2) + (5^3) + 101 + 17 + 11 + 7,199 + (19^2) + (3^5) + 11 + 7,6,6,4
4,821,823,821,2,821 + 2,,,,,,
4,821,827,821,6,821 + (2*3),,,,,,
4,821,829,827,2,827 + 2,,,,,,
5,1481,1481,829,652,829 + 199 + 197 + 193 + 19 + 17 + 13 + 7 + 5 + 2,829 + (199*3) + (19*2) + 17,829 + (19^2) + (3^5) + 17 + 13 + 11 + 7,829 + (19^2) + (3^5) + 17 + 13 + 11 + 7,8,7,5
5,1481,1483,1481,2,1481 + 2,,,,,,
5,1481,1487,1481,6,1481 + (2*3),,,,,,
5,1481,1489,1487,2,1487 + 2,,,,,,
6,1871,1871,1489,382,1489 + 199 + 109 + 19 + 17 + (5*7) + 3,1489 + (191*2),1489 + (19^2) + (7*3),1489 + (19^2) + (7*3),--,7,5
6,1871,1873,1871,2,1871 + 2,,,,,,
6,1871,1877,1871,6,1871 + (2*3),,,,,,
6,1871,1879,1877,2,1877 + 2,,,,,,
7,2081,2081,1879,202,1879 + 199 + 3,1879 + (101*2),1879 + (13^2) + (11*3),1879 + (13^2) + (11*3),2,2,2
7,2081,2083,2081,2,2081 + 2,,,,,,
7,2081,2087,2081,6,2081 + (2*3),,,,,,
7,2081,2089,2087,2,2087 + 2,,,,,,
8,3251,3251,2089,1162,2089 + 829 + 199 + 109 + 19 + (2*3),2089 + (199*5) + (19*7) + (17*2),2089 + (19^2) + (7^3) + (13*11) + 197 + 101 + 17,2089 + (19^2) + (7^3) + (13*11) + 197 + 101 + 17,6,5,4
8,3251,3253,3251,2,3251 + 2,,,,,,
8,3251,3257,3251,6,3251 + (2*3),,,,,,
8,3251,3259,3257,2,3257 + 2,,,,,,
9,3461,3461,3259,202,3259 + 199 + 3,3259 + (101*2),3259 + (13^2) + (11*3),3259 + (13^2) + (11*3),2,2,2
9,3461,3463,3461,2,3461 + 2,,,,,,
9,3461,3467,3461,6,3461 + (2*3),,,,,,
9,3461,3469,3467,2,3467 + 2,,,,,,
10,5651,5651,3469,2182,3469 + 2087 + 19 + 17 + 13 + 11 + (5*7),3469 + (829*2) + (109*3) + (19*5) + (13*7) + 11,3469 + (19^2) + (11^3) + (17*7) + (13*5) + 199 + 107,3469 + (2^11) + (19*5) + (13*3),2,2,2
10,5651,5653,5651,2,5651 + 2,,,,,,
10,5651,5657,5651,6,5651 + (2*3),,,,,,
10,5651,5659,5657,2,5657 + 2,,,,,,
11,9431,9431,5659,3772,5659 + 3469 + 199 + 101 + 3,5659 + (1879*2) + 11 + 3,5659 + (19^2) + (13^3) + (199*5) + 191 + 17 + 11,5659 + (13^3) + (19^2) + (199*5) + 191 + 17 + 11,4,4,3
11,9431,9433,9431,2,9431 + 2,,,,,,
11,9431,9437,9431,6,9431 + (2*3),,,,,,
11,9431,9439,9437,2,9437 + 2,,,,,,
12,13001,13001,9439,3562,9439 + 3467 + 19 + 17 + 13 + 11 + (5*7),9439 + (1489*2) + (193*3) + 5,9439 + (19^2) + (13^3) + (109*7) + 107 + 101 + 17 + 11 + 5,9439 + (13^3) + (19^2) + (109*7) + 107 + 101 + 17 + 11 + 5,2,2,2
12,13001,13003,13001,2,13001 + 2,,,,,,
12,13001,13007,13001,6,13001 + (2*3),,,,,,
12,13001,13009,13007,2,13007 + 2,,,,,,
13,15641,15641,13009,2632,13009 + 2089 + 199 + 197 + 109 + (5*7) + 3,13009 + (829*3) + (19*5) + (13*2) + 17 + 7,13009 + (19^2) + (11^3) + (109*5) + (13*7) + 197 + 107,13009 + (13^3) + (17^2) + 109 + 19 + 11 + 7,6,5,5
13,15641,15643,15641,2,15641 + 2,,,,,,
13,15641,15647,15641,6,15641 + (2*3),,,,,,
13,15641,15649,15647,2,15647 + 2,,,,,,
14,15731,15731,15649,82,15649 + 19 + 17 + 13 + 11 + (3*5) + 7,15649 + (19*3) + (7*2) + 11,15649 + (7^2) + (11*3),15649 + (7^2) + (11*3),--,,4
14,15731,15733,15731,2,15731 + 2,,,,,,
14,15731,15737,15731,6,15731 + (2*3),,,,,,
14,15731,15739,15737,2,15737 + 2,,,,,,
15,16061,16061,15739,322,15739 + 199 + 109 + 7 + 5 + 2,15739 + (109*2) + (17*5) + 19,15739 + (17^2) + (11*3),15739 + (17^2) + (11*3),4,3,3
15,16061,16063,16061,2,16061 + 2,,,,,,
15,16061,16067,16061,6,16061 + (2*3),,,,,,
15,16061,16069,16067,2,16067 + 2,,,,,,
16,18041,18041,16069,1972,16069 + 1877 + 19 + 17 + 13 + 11 + (5*7),16069 + (829*2) + (103*3) + 5,16069 + (19^2) + (11^3) + (13*5) + 191 + 17 + 7,16069 + (11^3) + (19^2) + (13*5) + 191 + 17 + 7,2,2,2
16,18041,18043,18041,2,18041 + 2,,,,,,
16,18041,18047,18041,6,18041 + (2*3),,,,,,
16,18041,18049,18047,2,18047 + 2,,,,,,
17,18911,18911,18049,862,18049 + 829 + 19 + 7 + 5 + 2,18049 + (199*3) + (109*2) + 19 + 17 + 11,18049 + (19^2) + (7^3) + (11*5) + 103,18049 + (19^2) + (7^3) + (11*5) + 103,4,3,2
17,18911,18913,18911,2,18911 + 2,,,,,,
17,18911,18917,18911,6,18911 + (2*3),,,,,,
17,18911,18919,18917,2,18917 + 2,,,,,,
18,19421,19421,18919,502,18919 + 199 + 197 + 103 + 3,18919 + (199*2) + (17*5) + 19,18919 + (19^2) + (17*3) + (11*7) + 13,18919 + (19^2) + (17*3) + (11*7) + 13,4,4,4
18,19421,19423,19421,2,19421 + 2,,,,,,
18,19421,19427,19421,6,19421 + (2*3),,,,,,
18,19421,19429,19427,2,19427 + 2,,,,,,
19,21011,21011,19429,1582,19429 + 1487 + 19 + 17 + 13 + 11 + (5*7),19429 + (199*7) + (19*3) + (13*2) + 101 + 5,19429 + (19^2) + (7^3) + (109*5) + (17*13) + 101 + 11,19429 + (11^3) + (2^7) + 101 + 17 + 5,2,2,2
19,21011,21013,21011,2,21011 + 2,,,,,,
19,21011,21017,21011,6,21011 + (2*3),,,,,,
19,21011,21019,21017,2,21017 + 2,,,,,,
20,22271,22271,21019,1252,21019 + 829 + 199 + 197 + 19 + 5 + 3,21019 + (199*5) + (109*2) + (13*3),21019 + (19^2) + (7^3) + (107*5) + 13,21019 + (19^2) + (7^3) + (107*5) + 13,6,5,4
20,22271,22273,22271,2,22271 + 2,,,,,,
20,22271,22277,22271,6,22271 + (2*3),,,,,,
20,22271,22279,22277,2,22277 + 2,,,,,,
21,25301,25301,22279,3022,22279 + 2089 + 829 + 101 + 3,22279 + (1489*2) + (13*3) + 5,22279 + (19^2) + (13^3) + (17*5) + (11*7) + 199 + 103,22279 + (13^3) + (19^2) + (17*5) + (11*7) + 199 + 103,4,4,4
21,25301,25303,25301,2,25301 + 2,,,,,,
21,25301,25307,25301,6,25301 + (2*3),,,,,,
21,25301,25309,25307,2,25307 + 2,,,,,,
22,31721,31721,25309,6412,25309 + 5659 + 199 + 197 + 193 + 109 + 19 + 17 + (2*7) + 5,25309 + (2089*3) + (19*5) + (13*2) + 17 + 7,25309 + (19^2) + (17^3) + (199*5) + (13*11),25309 + (17^3) + (19^2) + (199*5) + (13*11),4,4,4
22,31721,31723,31721,2,31721 + 2,,,,,,
22,31721,31727,31721,6,31721 + (2*3),,,,,,
22,31721,31729,31727,2,31727 + 2,,,,,,
23,34841,34841,31729,3112,31729 + 2089 + 829 + 191 + 3,31729 + (1489*2) + (19*5) + (13*3),31729 + (19^2) + (13^3) + (17*5) + (11*7) + 199 + 193,31729 + (13^3) + (19^2) + (17*5) + (11*7) + 199 + 193,4,4,4
23,34841,34843,34841,2,34841 + 2,,,,,,
23,34841,34847,34841,6,34841 + (2*3),,,,,,
23,34841,34849,34847,2,34847 + 2,,,,,,
24,43781,43781,34849,8932,34849 + 5659 + 3259 + 7 + 5 + 2,34849 + (3469*2) + (199*7) + (193*3) + 17 + 5,34849 + (19^3) + (17^2) + (199*5) + (11*7) + 197 + 191 + 107 + 103 + 101 + 13,34849 + (2^13) + (7^3) + (19*11) + (17*5) + 103,4,3,3
24,43781,43783,43781,2,43781 + 2,,,,,,
24,43781,43787,43781,6,43781 + (2*3),,,,,,
24,43781,43789,43787,2,43787 + 2,,,,,,
25,51341,51341,43789,7552,43789 + 5659 + 1879 + 7 + 5 + 2,43789 + (3469*2) + (199*3) + 17,43789 + (19^3) + (17^2) + (13*7) + 199 + 109 + 5,43789 + (19^3) + (17^2) + (13*7) + 199 + 109 + 5,4,3,3
25,51341,51343,51341,2,51341 + 2,,,,,,
25,51341,51347,51341,6,51341 + (2*3),,,,,,
25,51341,51349,51347,2,51347 + 2,,,,,,
26,55331,55331,51349,3982,51349 + 3469 + 199 + 197 + 109 + 5 + 3,51349 + (1879*2) + (19*11) + (5*3),51349 + (19^2) + (13^3) + (199*5) + 197 + 107 + 101 + 17 + 7,51349 + (13^3) + (19^2) + (199*5) + 197 + 107 + 101 + 17 + 7,4,3,3
26,55331,55333,55331,2,55331 + 2,,,,,,
26,55331,55337,55331,6,55331 + (2*3),,,,,,
26,55331,55339,55337,2,55337 + 2,,,,,,
27,62981,62981,55339,7642,55339 + 5659 + 1879 + 101 + 3,55339 + (3469*2) + (199*3) + (13*7) + 11 + 5,55339 + (19^3) + (17^2) + (13*7) + 199 + 193 + 11,55339 + (19^3) + (17^2) + (13*7) + 199 + 193 + 11,4,4,4
27,62981,62983,62981,2,62981 + 2,,,,,,
27,62981,62987,62981,6,62981 + (2*3),,,,,,
27,62981,62989,62987,2,62987 + 2,,,,,,
28,67211,67211,62989,4222,62989 + 3469 + 199 + 197 + 193 + 109 + 19 + 17 + (2*7) + 5,62989 + (2089*2) + (13*3) + 5,62989 + (19^2) + (13^3) + (199*7) + (11*5) + 109 + 107,62989 + (13^3) + (19^2) + (199*7) + (11*5) + 109 + 107,6,5,4
28,67211,67213,67211,2,67211 + 2,,,,,,
28,67211,67217,67211,6,67211 + (2*3),,,,,,
28,67211,67219,67217,2,67217 + 2,,,,,,
29,69491,69491,67219,2272,67219 + 2089 + 109 + 19 + 17 + (5*7) + 3,67219 + (829*2) + (199*3) + 17,67219 + (19^2) + (11^3) + (17*7) + (13*5) + 199 + 197,67219 + (13^3) + (2^5) + 19 + 17 + 7,2,2,2
29,69491,69493,69491,2,69491 + 2,,,,,,
29,69491,69497,69491,6,69491 + (2*3),,,,,,
29,69491,69499,69497,2,69497 + 2,,,,,,
30,72221,72221,69499,2722,69499 + 2089 + 199 + 197 + 193 + 19 + 17 + 5 + 3,69499 + (829*3) + (109*2) + 17,69499 + (19^2) + (13^3) + (11*5) + 109,69499 + (13^3) + (19^2) + (11*5) + 109,4,3,3
30,72221,72223,72221,2,72221 + 2,,,,,,
30,72221,72227,72221,6,72221 + (2*3),,,,,,
30,72221,72229,72227,2,72227 + 2,,,,,,
31,77261,77261,72229,5032,72229 + 3469 + 1489 + 19 + 17 + (5*7) + 3,72229 + (2089*2) + (199*3) + (19*11) + (7*5) + 13,72229 + (19^2) + (13^3) + (199*11) + (17*5) + 193 + 7,72229 + (17^3) + (19*5) + 13 + 11,4,4,4
31,77261,77263,77261,2,77261 + 2,,,,,,
31,77261,77267,77261,6,77261 + (2*3),,,,,,
31,77261,77269,77267,2,77267 + 2,,,,,,
32,79691,79691,77269,2422,77269 + 2089 + 199 + 109 + 19 + (2*3),77269 + (829*2) + (199*3) + (17*7) + 19 + 13 + 11 + 5,77269 + (19^2) + (11^3) + (103*5) + (13*7) + 107 + 17,77269 + (13^3) + (11^2) + (17*5) + 19,4,4,4
32,79691,79693,79691,2,79691 + 2,,,,,,
32,79691,79697,79691,6,79691 + (2*3),,,,,,
32,79691,79699,79697,2,79697 + 2,,,,,,
33,81041,81041,79699,1342,79699 + 829 + 199 + 197 + 109 + 5 + 3,79699 + (199*5) + (109*3) + 13 + 7,79699 + (19^2) + (7^3) + (107*5) + 103,79699 + (19^2) + (7^3) + (107*5) + 103,6,5,5
33,81041,81043,81041,2,81041 + 2,,,,,,
33,81041,81047,81041,6,81041 + (2*3),,,,,,
33,81041,81049,81047,2,81047 + 2,,,,,,
34,82721,82721,81049,1672,81049 + 1489 + 109 + 19 + 17 + (5*7) + 3,81049 + (829*2) + 11 + 3,81049 + (19^2) + (7^3) + (191*5) + 13,81049 + (11^3) + (13^2) + (7*5) + 101 + 19 + 17,2,2,2
34,82721,82723,82721,2,82721 + 2,,,,,,
34,82721,82727,82721,6,82721 + (2*3),,,,,,
34,82721,82729,82727,2,82727 + 2,,,,,,
35,88811,88811,82729,6082,82729 + 5659 + 199 + 197 + 19 + 5 + 3,82729 + (2089*2) + (199*7) + (109*3) + (13*11) + 19 + 17 + 5,82729 + (19^2) + (17^3) + (103*5) + (13*7) + 191 + 11,82729 + (17^3) + (19^2) + (103*5) + (13*7) + 191 + 11,6,5,4
35,88811,88813,88811,2,88811 + 2,,,,,,
35,88811,88817,88811,6,88811 + (2*3),,,,,,
35,88811,88819,88817,2,88817 + 2,,,,,,
36,97841,97841,88819,9022,88819 + 5659 + 3259 + 101 + 3,88819 + (3469*2) + (199*7) + (193*3) + (19*5) + 17,88819 + (19^3) + (17^2) + (199*7) + (13*5) + 197 + 107 + 101 + 11,88819 + (2^13) + (7^3) + (19*17) + (11*5) + 109,4,4,4
36,97841,97843,97841,2,97841 + 2,,,,,,
36,97841,97847,97841,6,97841 + (2*3),,,,,,
36,97841,97849,97847,2,97847 + 2,,,,,,
37,99131,99131,97849,1282,97849 + 829 + 199 + 197 + 19 + (5*7) + 3,97849 + (199*5) + (109*2) + (17*3) + 11 + 7,97849 + (19^2) + (7^3) + (17*13) + (11*5) + 199 + 103,97849 + (19^2) + (7^3) + (17*13) + (11*5) + 199 + 103,8,7,5
37,99131,99133,99131,2,99131 + 2,,,,,,
37,99131,99137,99131,6,99131 + (2*3),,,,,,
37,99131,99139,99137,2,99137 + 2,,,,,,
38,101111,101111,99139,1972,99139 + 1877 + 19 + 17 + 13 + 11 + (5*7),99139 + (829*2) + (103*3) + 5,99139 + (19^2) + (11^3) + (13*5) + 191 + 17 + 7,99139 + (11^3) + (19^2) + (13*5) + 191 + 17 + 7,2,2,2
38,101111,101113,101111,2,101111 + 2,,,,,,
38,101111,101117,101111,6,101111 + (2*3),,,,,,
38,101111,101119,101117,2,101117 + 2,,,,,,
39,109841,109841,101119,8722,101119 + 5659 + 2089 + 829 + 109 + 19 + 17,101119 + (3469*2) + (199*7) + (103*3) + (13*5) + 17,101119 + (19^3) + (17^2) + (199*5) + (11*7) + 197 + 191 + 101 + 13,101119 + (2^13) + (7^3) + (17*11),4,4,4
39,109841,109843,109841,2,109841 + 2,,,,,,
39,109841,109847,109841,6,109841 + (2*3),,,,,,
39,109841,109849,109847,2,109847 + 2,,,,,,
40,116531,116531,109849,6682,109849 + 5659 + 829 + 191 + 3,109849 + (3259*2) + (19*7) + 17 + 11 + 3,109849 + (19^2) + (17^3) + (199*5) + (13*7) + 107 + 103 + 101 + 11,109849 + (17^3) + (19^2) + (199*5) + (13*7) + 107 + 103 + 101 + 11,4,4,4
40,116531,116533,116531,2,116531 + 2,,,,,,
40,116531,116537,116531,6,116531 + (2*3),,,,,,
40,116531,116539,116537,2,116537 + 2,,,,,,
41,119291,119291,116539,2752,116539 + 2089 + 199 + 197 + 193 + 19 + 17 + (5*7) + 3,116539 + (829*3) + (109*2) + 19 + 17 + 11,116539 + (19^2) + (13^3) + (17*11) + 7,116539 + (13^3) + (19^2) + (17*11) + 7,6,5,4
41,119291,119293,119291,2,119291 + 2,,,,,,
41,119291,119297,119291,6,119291 + (2*3),,,,,,
41,119291,119299,119297,2,119297 + 2,,,,,,
42,122201,122201,119299,2902,119299 + 2089 + 199 + 197 + 193 + 191 + 19 + 7 + 5 + 2,119299 + (829*3) + (199*2) + 17,119299 + (19^2) + (13^3) + (7*5) + 197 + 101 + 11,119299 + (13^3) + (19^2) + (7*5) + 197 + 101 + 11,2,2,2
42,122201,122203,122201,2,122201 + 2,,,,,,
42,122201,122207,122201,6,122201 + (2*3),,,,,,
42,122201,122209,122207,2,122207 + 2,,,,,,
43,135461,135461,122209,13252,122209 + 13009 + 199 + 19 + 17 + 5 + 3,122209 + (5659*2) + (199*7) + (109*3) + (19*11) + 5,122209 + (109^2) + (7^3) + (197*5) + 19 + 13 + 11,122209 + (109^2) + (7^3) + (197*5) + 19 + 13 + 11,6,5,4
43,135461,135463,135461,2,135461 + 2,,,,,,
43,135461,135467,135461,6,135461 + (2*3),,,,,,
43,135461,135469,135467,2,135467 + 2,,,,,,
44,144161,144161,135469,8692,135469 + 5659 + 2089 + 829 + 109 + (2*3),135469 + (3469*2) + (199*7) + (103*3) + 19 + 17 + 11 + 5,135469 + (19^3) + (17^2) + (199*5) + (13*11) + 191 + 107 + 101 + 7,135469 + (2^13) + (3^5) + (19*7) + 107 + 17,4,4,4
44,144161,144163,144161,2,144161 + 2,,,,,,
44,144161,144167,144161,6,144161 + (2*3),,,,,,
44,144161,144169,144167,2,144167 + 2,,,,,,
45,157271,157271,144169,13102,144169 + 13007 + 19 + 17 + 13 + 11 + (5*7),144169 + (5659*2) + (199*7) + (103*3) + (13*5) + 17,144169 + (109^2) + (7^3) + (107*5) + (17*13) + 103 + 19,144169 + (109^2) + (7^3) + (107*5) + (17*13) + 103 + 19,2,2,2
45,157271,157273,157271,2,157271 + 2,,,,,,
45,157271,157277,157271,6,157271 + (2*3),,,,,,
45,157271,157279,157277,2,157277 + 2,,,,,,
46,165701,165701,157279,8422,157279 + 5659 + 2089 + 199 + 197 + 193 + 19 + 17 + 11 + (5*7) + 3,157279 + (3469*2) + (199*7) + (13*3) + 19 + 17 + 11 + 5,157279 + (19^3) + (17^2) + (197*5) + (11*7) + 199 + 13,157279 + (2^13) + (19*11) + (7*3),4,4,4
46,165701,165703,165701,2,165701 + 2,,,,,,
46,165701,165707,165701,6,165701 + (2*3),,,,,,
46,165701,165709,165707,2,165707 + 2,,,,,,
47,166841,166841,165709,1132,165709 + 829 + 199 + 101 + 3,165709 + (199*5) + (17*7) + 13 + 3 + 2,165709 + (19^2) + (7^3) + (17*13) + 191 + 11 + 5,165709 + (19^2) + (7^3) + (17*13) + 191 + 11 + 5,4,4,4
47,166841,166843,166841,2,166841 + 2,,,,,,
47,166841,166847,166841,6,166841 + (2*3),,,,,,
47,166841,166849,166847,2,166847 + 2,,,,,,
48,171161,171161,166849,4312,166849 + 3469 + 829 + 7 + 5 + 2,166849 + (2089*2) + (19*5) + (13*3),166849 + (19^2) + (13^3) + (199*7) + (11*5) + 197 + 109,166849 + (13^3) + (19^2) + (199*7) + (11*5) + 197 + 109,4,3,3
48,171161,171163,171161,2,171161 + 2,,,,,,
48,171161,171167,171161,6,171161 + (2*3),,,,,,
48,171161,171169,171167,2,171167 + 2,,,,,,
49,187631,187631,171169,16462,171169 + 16069 + 199 + 191 + 3,171169 + (5659*2) + (1489*3) + (109*5) + (17*7) + 13,171169 + (109^2) + (13^3) + (199*11) + (17*5) + 103 + 7,171169 + (109^2) + (13^3) + (199*11) + (17*5) + 103 + 7,2,2,2
49,187631,187633,187631,2,187631 + 2,,,,,,
49,187631,187637,187631,6,187631 + (2*3),,,,,,
49,187631,187639,187637,2,187637 + 2,,,,,,
50,194861,194861,187639,7222,187639 + 5659 + 1489 + 19 + 17 + (5*7) + 3,187639 + (3469*2) + (19*13) + (7*3) + 11 + 5,187639 + (19^3) + (13^2) + (17*11) + 7,187639 + (19^3) + (13^2) + (17*11) + 7,4,4,4
50,194861,194863,194861,2,194861 + 2,,,,,,
50,194861,194867,194861,6,194861 + (2*3),,,,,,
50,194861,194869,194867,2,194867 + 2,,,,,,
51,195731,195731,194869,862,194869 + 829 + 19 + 7 + 5 + 2,194869 + (199*3) + (109*2) + 19 + 17 + 11,194869 + (19^2) + (7^3) + (11*5) + 103,194869 + (19^2) + (7^3) + (11*5) + 103,4,3,2
51,195731,195733,195731,2,195731 + 2,,,,,,
51,195731,195737,195731,6,195731 + (2*3),,,,,,
51,195731,195739,195737,2,195737 + 2,,,,,,
52,201491,201491,195739,5752,195739 + 5657 + 19 + 17 + 13 + 11 + (5*7),195739 + (2089*2) + (199*7) + (19*3) + 107 + 17,195739 + (19^2) + (17^3) + (13*11) + (7*5) + 199 + 101,195739 + (17^3) + (19^2) + (13*11) + (7*5) + 199 + 101,2,2,2
52,201491,201493,201491,2,201491 + 2,,,,,,
52,201491,201497,201491,6,201491 + (2*3),,,,,,
52,201491,201499,201497,2,201497 + 2,,,,,,
53,201821,201821,201499,322,201499 + 199 + 109 + 7 + 5 + 2,201499 + (109*2) + (17*5) + 19,201499 + (17^2) + (11*3),201499 + (17^2) + (11*3),4,3,3
53,201821,201823,201821,2,201821 + 2,,,,,,
53,201821,201827,201821,6,201821 + (2*3),,,,,,
53,201821,201829,201827,2,201827 + 2,,,,,,
54,217361,217361,201829,15532,201829 + 13009 + 2089 + 199 + 197 + (5*7) + 3,201829 + (5659*2) + (829*5) + (17*3) + 11 + 7,201829 + (109^2) + (13^3) + (199*5) + (19*7) + 197 + 101 + 17 + 11,201829 + (109^2) + (13^3) + (199*5) + (19*7) + 197 + 101 + 17 + 11,6,5,5
54,217361,217363,217361,2,217361 + 2,,,,,,
54,217361,217367,217361,6,217361 + (2*3),,,,,,
54,217361,217369,217367,2,217367 + 2,,,,,,
55,225341,225341,217369,7972,217369 + 5659 + 2089 + 199 + 19 + (2*3),217369 + (3469*2) + (199*5) + (13*3),217369 + (19^3) + (17^2) + (107*5) + (11*7) + 199 + 13,217369 + (19^3) + (17^2) + (107*5) + (11*7) + 199 + 13,4,4,4
55,225341,225343,225341,2,225341 + 2,,,,,,
55,225341,225347,225341,6,225341 + (2*3),,,,,,
55,225341,225349,225347,2,225347 + 2,,,,,,
56,240041,240041,225349,14692,225349 + 13009 + 1489 + 191 + 3,225349 + (5659*2) + (829*3) + (109*7) + 107 + 17,225349 + (109^2) + (13^3) + (19*11) + 197 + 191 + 17,225349 + (109^2) + (13^3) + (19*11) + 197 + 191 + 17,4,4,4
56,240041,240043,240041,2,240041 + 2,,,,,,
56,240041,240047,240041,6,240041 + (2*3),,,,,,
56,240041,240049,240047,2,240047 + 2,,,,,,
57,243701,243701,240049,3652,240049 + 3469 + 109 + 19 + 17 + (5*7) + 3,240049 + (1489*2) + (199*3) + (11*7),240049 + (19^2) + (13^3) + (197*5) + 109,240049 + (13^3) + (19^2) + (197*5) + 109,2,2,2
57,243701,243703,243701,2,243701 + 2,,,,,,
57,243701,243707,243701,6,243701 + (2*3),,,,,,
57,243701,243709,243707,2,243707 + 2,,,,,,
58,247601,247601,243709,3892,243709 + 3469 + 199 + 197 + 19 + 5 + 3,243709 + (1879*2) + (19*5) + (13*3),243709 + (19^2) + (13^3) + (199*5) + 197 + 107 + 17 + 11 + 7,243709 + (13^3) + (19^2) + (199*5) + 197 + 107 + 17 + 11 + 7,4,4,4
58,247601,247603,247601,2,247601 + 2,,,,,,
58,247601,247607,247601,6,247601 + (2*3),,,,,,
58,247601,247609,247607,2,247607 + 2,,,,,,
59,247991,247991,247609,382,247609 + 199 + 109 + 19 + 17 + (5*7) + 3,247609 + (191*2),247609 + (19^2) + (7*3),247609 + (19^2) + (7*3),--,7,5
59,247991,247993,247991,2,247991 + 2,,,,,,
59,247991,247997,247991,6,247991 + (2*3),,,,,,
59,247991,247999,247997,2,247997 + 2,,,,,,
60,257861,257861,247999,9862,247999 + 9439 + 199 + 197 + 19 + 5 + 3,247999 + (3469*2) + (829*3) + (19*17) + 109 + 5,247999 + (19^3) + (17^2) + (199*13) + 109 + 11 + 7,247999 + (2^13) + (11^3) + (7*5) + 197 + 107,4,4,4
60,257861,257863,257861,2,257861 + 2,,,,,,
60,257861,257867,257861,6,257861 + (2*3),,,,,,
60,257861,257869,257867,2,257867 + 2,,,,,,
61,260411,260411,257869,2542,257869 + 2089 + 199 + 197 + 19 + (5*7) + 3,257869 + (829*3) + (19*2) + 17,257869 + (19^2) + (11^3) + (109*5) + (13*7) + 197 + 17,257869 + (13^3) + (2^7) + 193 + 19 + 5,6,5,4
61,260411,260413,260411,2,260411 + 2,,,,,,
61,260411,260417,260411,6,260411 + (2*3),,,,,,
61,260411,260419,260417,2,260417 + 2,,,,,,
62,266681,266681,260419,6262,260419 + 5659 + 199 + 197 + 193 + 7 + 5 + 2,260419 + (2089*2) + (199*7) + (193*3) + (19*5) + 17,260419 + (19^2) + (17^3) + (109*5) + (13*11) + 199 + 101,260419 + (17^3) + (19^2) + (109*5) + (13*11) + 199 + 101,4,4,4
62,266681,266683,266681,2,266681 + 2,,,,,,
62,266681,266687,266681,6,266681 + (2*3),,,,,,
62,266681,266689,266687,2,266687 + 2,,,,,,
63,268811,268811,266689,2122,266689 + 2089 + 19 + 7 + 5 + 2,266689 + (829*2) + (109*3) + (17*7) + 13 + 5,266689 + (19^2) + (11^3) + (17*13) + 197 + 7 + 5,266689 + (2^11) + (19*3) + 17,4,3,2
63,268811,268813,268811,2,268811 + 2,,,,,,
63,268811,268817,268811,6,268811 + (2*3),,,,,,
63,268811,268819,268817,2,268817 + 2,,,,,,
64,276041,276041,268819,7222,268819 + 5659 + 1489 + 19 + 17 + (5*7) + 3,268819 + (3469*2) + (19*13) + (7*3) + 11 + 5,268819 + (19^3) + (13^2) + (17*11) + 7,268819 + (19^3) + (13^2) + (17*11) + 7,4,4,4
64,276041,276043,276041,2,276041 + 2,,,,,,
64,276041,276047,276041,6,276041 + (2*3),,,,,,
64,276041,276049,276047,2,276047 + 2,,,,,,
65,284741,284741,276049,8692,276049 + 5659 + 2089 + 829 + 109 + (2*3),276049 + (3469*2) + (199*7) + (103*3) + 19 + 17 + 11 + 5,276049 + (19^3) + (17^2) + (199*5) + (13*11) + 191 + 107 + 101 + 7,276049 + (2^13) + (3^5) + (19*7) + 107 + 17,4,4,4
65,284741,284743,284741,2,284741 + 2,,,,,,
65,284741,284747,284741,6,284741 + (2*3),,,,,,
65,284741,284749,284747,2,284747 + 2,,,,,,
66,285281,285281,284749,532,284749 + 199 + 197 + 109 + 19 + 5 + 3,284749 + (199*2) + (19*5) + (13*3),284749 + (19^2) + (17*3) + 109 + 11,284749 + (19^2) + (17*3) + 109 + 11,6,5,4
66,285281,285283,285281,2,285281 + 2,,,,,,
66,285281,285287,285281,6,285281 + (2*3),,,,,,
66,285281,285289,285287,2,285287 + 2,,,,,,
